heading,body,url,action,graphic,section,Status
Farmers.gov,"Find USDA services and resources for farmers, ranchers and producers.",https://www.farmers.gov/,,/uswds-sandbox/assets/img/featured-farmersgov-0.jpg,featured,
Wildfires,Our thoughts are with local communities and our employees who are facing unprecedented devastation.,https://www.fs.usda.gov/,,/uswds-sandbox/assets/img/featured-fs-0.jpg,featured,
Choose MyPlate,Find real-life solutions for a healthy eating style. MyPlate has resources to help you!,https://www.choosemyplate.gov/,,/uswds-sandbox/assets/img/featured-myplate-0.jpg,featured,
Census of Agriculture,"Farmers and Ranchers, this is your opportunity to help shape the future of agriculture by being counted.",https://www.agcensus.usda.gov/,,/uswds-sandbox/assets/img/featured-census-0.jpg,featured,
